case,z,y,x,lung,delta,dc,fab,era
CT00000100,0,128,128,0.220159912109375,-2.7480116114020348,0.08270513266324997,0,0
CT00000100,0,128,256,0.243603515625,-12.956649996340275,0.12751711905002594,0,0
CT00000100,0,192,128,0.2139404296875,-10.588027536869049,0.09080829471349716,1,1
CT00000100,40,64,64,0.6221923828125,-6.891200318932533,0.08390787243843079,0,0
CT00000100,40,64,128,0.62113037109375,-4.325914196670055,0.0723559632897377,0,0
CT00000100,40,64,192,0.6860595703125,-3.327928949147463,0.07438424229621887,1,3
CT00000100,40,64,256,0.646929931640625,-6.295586470514536,0.08044459670782089,0,2
CT00000100,40,128,64,0.976275634765625,-0.6740085082128644,0.13495545089244843,0,2
CT00000100,40,128,128,0.655853271484375,1.1846702545881271,0.043816786259412766,1,3
CT00000100,40,128,192,0.4593017578125,0.0873906392371282,0.038451071828603745,0,0
CT00000100,40,128,256,0.98529052734375,-0.4843462957069278,0.1333325058221817,0,1
CT00000100,40,192,64,0.764923095703125,-3.788535948842764,0.056504376232624054,1,2
CT00000100,40,192,128,0.57403564453125,-5.537250079214573,0.04938354343175888,1,1
CT00000100,40,192,192,0.422149658203125,-7.332362700253725,0.05066433176398277,0,1
CT00000100,40,192,256,0.717132568359375,-4.893142729997635,0.05959903448820114,2,1
CT00000100,80,0,64,0.232427978515625,-3.037580754607916,0.0530843622982502,0,0
CT00000100,80,0,128,0.2664306640625,-2.3477671202272177,0.04960067570209503,1,1
CT00000100,80,0,192,0.214013671875,-1.6880134353414178,0.05065259709954262,0,0
CT00000100,80,0,256,0.2459228515625,-4.389948211610317,0.06339118629693985,0,0
CT00000100,80,64,0,0.257183837890625,-6.064835470169783,0.0760900154709816,0,0
CT00000100,80,64,64,0.9781005859375,0.600971223320812,0.12443850189447403,0,0
CT00000100,80,64,128,0.455755615234375,0.3887090424541384,0.04833546653389931,0,0
CT00000100,80,64,256,0.9388427734375,-0.020628176571335644,0.1028050109744072,1,2
