CTHNet+流匹配(ours)_contrast,CTHNet+流匹配(ours)_mean,CTHNet+流匹配(ours)_peak,base_contrast,base_mean,base_peak,diameter_mm,ref_contrast,ref_mean,ref_peak,uid,up_contrast,up_mean,up_peak
310.4306335449219,-171.56936645507812,174.875,310.4306335449219,-171.56936645507812,174.875,13.6,369.084716796875,-147.91529846191406,608.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,238.13255310058594,-205.33595275878906,223.1156005859375
273.8626708984375,-323.3873291015625,-91.375,273.8626708984375,-323.3873291015625,-91.375,4.34,390.091552734375,-179.908447265625,219.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,120.05264282226562,-476.8517761230469,-327.85369873046875
278.8900146484375,-420.1099853515625,-203.375,278.8900146484375,-420.1099853515625,-203.375,4.68,453.010009765625,-257.489990234375,46.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,199.297119140625,-513.2196044921875,-343.8969421386719
515.4354248046875,-319.0646057128906,-24.515625,511.32379150390625,-306.17620849609375,-66.25,6.72,756.4859008789062,-130.5140838623047,167.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,314.1681823730469,-500.1562805175781,-252.47377014160156
314.48028564453125,-545.5197143554688,19.109375,345.5609130859375,-518.9390869140625,-142.5,6.8,349.6802673339844,-505.3197326660156,-110.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950,102.95416259765625,-695.7954711914062,-553.8739013671875
235.72869873046875,-546.2713012695312,-142.625,217.80145263671875,-546.1985473632812,-251.5,5.06,253.39410400390625,-507.60589599609375,-235.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,97.874267578125,-653.6902465820312,-462.33819580078125
444.6644287109375,-316.3355712890625,1.595703125,454.2139587402344,-306.7860412597656,-30.21875,7.05,553.1618041992188,-219.8381805419922,61.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,287.5775146484375,-455.66619873046875,-217.26229858398438
357.01806640625,-245.98193359375,25.734375,376.7607421875,-230.7392578125,30.796875,7.89,424.58380126953125,-188.4161834716797,148.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,245.36941528320312,-319.4220886230469,-38.71103286743164
349.62646484375,-244.12355041503906,56.4375,368.82855224609375,-227.6714630126953,3.767578125,9.26,403.16546630859375,-195.8345184326172,143.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,246.78878784179688,-325.8352355957031,-85.8875503540039
368.3828125,-203.1171875,8.375,388.3151550292969,-190.18484497070312,3.890625,6.78,455.8685302734375,-124.13145446777344,101.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,253.293701171875,-288.31573486328125,-41.955474853515625
594.3599243164062,-49.89006805419922,119.25,609.3563232421875,-43.39365005493164,119.25,11.14,796.6741333007812,50.17414474487305,322.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,419.54510498046875,-168.4608612060547,207.713134765625
403.31903076171875,-103.43097686767578,173.75,423.7337646484375,-91.2662353515625,177.0,17.69,469.76727294921875,-70.23274230957031,262.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,339.09906005859375,-138.98162841796875,164.1471710205078
